Code,Long Name,Currency Unit,Table Name,Household consumption price survey: Geographical coverage
AFG,Islamic State of Afghanistan,AFN: Afghani,Afghanistan,
ALB,Republic of Albania,ALL: Lek,Albania,Urban only
DZA,People's Democratic Republic of Algeria,DZD: Algerian Dinar,Algeria,Urban and Rural
ASM,American Samoa,USD: US Dollar (2011),American Samoa,
AGO,People's Republic of Angola,AOA: Kwanza,Angola,Urban and Rural
AIA,Anguilla,XCD: East Caribbean Dollar,Anguilla,Urban and Rural
ATG,Antigua and Barbuda,XCD: East Caribbean Dollar,Antigua and Barbuda,Urban only
ARG,Argentine Republic,ARS: Argentine Peso,Argentina,Capital city only
ARM,Republic of Armenia,AMD: Armenian Dram,Armenia,Urban only
ABW,Aruba,AWG: Aruban Florin,Aruba,Urban only
AUS,Commonwealth of Australia,AUD: Australian Dollar,Australia,Urban only
AUT,Republic of Austria,EUR: Euro,Austria,Urban only
AZE,Republic of Azerbaijan,AZN: Azerbaijan Manat,Azerbaijan,Urban only
BHS,Commonwealth of The Bahamas,BSD: Bahamian Dollar,"Bahamas, The",...
BHR,Kingdom of Bahrain,BHD: Bahraini Dinar,Bahrain,Urban only
BGD,People's Republic of Bangladesh,BDT: Taka,Bangladesh,Urban and Rural
BRB,Barbados,BBD: Barbados Dollar,Barbados,Urban and Rural
BLR,Republic of Belarus,BYN: Belarusian Ruble,Belarus,Urban only
BEL,Kingdom of Belgium,EUR: Euro,Belgium,Urban only
BLZ,Belize,BZD: Belize Dollar,Belize,Urban only
BEN,Republic of Benin,XOF: CFA Franc BCEAO,Benin,Urban and Rural
BMU,The Bermudas,BMD: Bermudian Dollar,Bermuda,Urban only
BTN,Kingdom of Bhutan,BTN: Ngultrum,Bhutan,Urban and Rural
BOL,Plurinational State of Bolivia,BOB: Boliviano,Bolivia,Urban only
BON,Bonaire,USD: US Dollar,Bonaire,Urban only
BIH,Bosnia and Herzegovina,BAM: Convertible Mark,Bosnia and Herzegovina,Urban only
BWA,Republic of Botswana,BWP: Pula,Botswana,Urban and Rural
BRA,Federative Republic of Brazil,BRL: Brazilian Real,Brazil,Urban only
BRN,Brunei Darussalam,BND: Brunei Dollar,Brunei Darussalam,Urban only
BGR,Republic of Bulgaria,BGN: Bulgarian Lev,Bulgaria,Capital-city only
BFA,Burkina Faso,XOF: CFA Franc BCEAO,Burkina Faso,Urban and Rural
BDI,Republic of Burundi,BIF: Burundi Franc,Burundi,Urban and Rural
CPV,Republic of Cabo Verde,CVE: Cabo Verde Escudo,Cabo Verde,Urban and Rural
KHM,Kingdom of Cambodia,KHR: Riel,Cambodia,Urban and Rural
CMR,Republic of Cameroon,XAF: CFA Franc BEAC,Cameroon,Urban and Rural
CAN,Canada,CAD: Canadian Dollar,Canada,Urban only
