Implied PPP conversion rate (National currency per international dollar),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.085,10.1,10.933,11.742,12.268,13.03,14.897,14.386,15.371,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.948,18.583,19.054,19.526,19.946,20.354,20.762
Albania,3.207,2.867,2.703,2.599,2.428,2.44,2.336,2.28,2.202,2.119,2.043,2.678,9.156,19.214,25.778,27.732,31.21,34.131,36.023,36.257,37.467,38.06,38.834,40.108,40.288,40.363,40.148,40.813,41.682,42.367,43.761,43.858,43.655,44.114,42.894,42.694,42.39,41.231,40.812,40.242,40.144,39.885,39.996,40.233,40.613,40.983
Algeria,1.807,1.889,1.813,1.863,1.923,1.95,1.949,2.019,2.21,2.463,3.095,4.711,5.652,6.243,7.711,9.804,11.889,12.506,11.98,13.132,15.709,15.299,15.26,16.23,17.74,19.978,21.44,22.22,25.143,22.16,25.432,29.476,32.593,33.43,34.04,35.011,37.156,38.856,40.812,39.666,37.414,38.939,40.143,41.549,43.109,44.955
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.046,0.064,0.412,2.088,4.216,10.078,19.187,24.932,34.425,39.133,39.751,46.546,38.451,50.053,64.606,65.682,66.019,65.001,68.182,80.779,92.952,121.419,146.641,164.018,198.482,223.226,238.043,248.611,257.096
Antigua and Barbuda,1.296,1.283,1.344,1.36,1.363,1.42,1.505,1.599,1.735,1.746,1.711,1.698,1.701,1.692,1.71,1.716,1.735,1.737,1.754,1.755,1.743,1.731,1.716,1.668,1.651,1.673,1.63,1.647,1.686,1.703,1.709,1.691,1.829,1.854,1.915,2.04,2.06,2.094,2.09,2.057,2.049,2.024,2.016,2.013,2.012,2.013
Argentina,0,0,0,0,0,0,0,0,0.001,0.016,0.334,0.766,0.851,0.817,0.822,0.831,0.816,0.798,0.776,0.751,0.742,0.718,0.923,1,1.032,1.104,1.219,1.364,1.648,1.887,2.256,2.733,3.218,3.941,5.452,6.867,9.295,10.257,14.024,20.753,29.17,41.939,58,73.485,87.997,100.961
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.053,0.789,35.197,89.091,105.322,121.822,134.645,132.967,128.331,130.792,129.946,133.382,138.075,137.942,140.076,142.185,147.76,150.392,160.209,163.65,157.964,159.846,165.186,172.924,161.229,155.971,156.523,156.053,155.447,155.652,157.439,159.857,163.138,166.926
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.062,1.077,1.098,1.158,1.166,1.152,1.191,1.225,1.228,1.222,1.225,1.224,1.26,1.295,1.32,1.291,1.303,1.318,1.285,1.309,1.362,1.355,1.351,1.371,1.375,1.338,1.348,1.357,1.363,1.368,1.372
Australia,0.918,0.923,0.975,1.019,1.043,1.064,1.107,1.157,1.219,1.262,1.278,1.253,1.241,1.226,1.215,1.225,1.225,1.218,1.216,1.209,1.235,1.25,1.267,1.284,1.294,1.313,1.339,1.361,1.419,1.414,1.473,1.511,1.54,1.447,1.452,1.474,1.45,1.466,1.463,1.482,1.482,1.455,1.446,1.447,1.448,1.452
Austria,0.897,0.873,0.866,0.864,0.872,0.872,0.877,0.874,0.896,0.887,0.881,0.883,0.894,0.897,0.9,0.898,0.89,0.886,0.88,0.87,0.863,0.86,0.857,0.852,0.844,0.84,0.83,0.827,0.827,0.836,0.833,0.831,0.814,0.797,0.799,0.799,0.777,0.77,0.765,0.765,0.768,0.756,0.762,0.763,0.763,0.764
Azerbaijan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0.001,0.033,0.114,0.139,0.145,0.142,0.143,0.165,0.171,0.175,0.184,0.196,0.218,0.235,0.276,0.347,0.279,0.314,0.384,0.369,0.359,0.355,0.377,0.431,0.505,0.554,0.543,0.484,0.501,0.51,0.517,0.524,0.53
"Bahamas, The",0.976,0.952,0.95,0.952,0.959,0.972,1.004,1.04,1.022,1.083,0.985,0.977,0.993,0.962,0.962,0.95,0.942,0.939,0.957,0.99,0.978,0.96,0.982,0.976,0.961,0.98,0.959,0.961,0.957,0.94,0.925,0.899,0.915,0.903,0.904,0.936,0.924,0.901,0.891,0.902,0.888,0.882,0.885,0.887,0.889,0.889
Bahrain,0.185,0.185,0.172,0.158,0.152,0.141,0.107,0.115,0.129,0.129,0.127,0.126,0.12,0.12,0.122,0.124,0.123,0.122,0.11,0.111,0.122,0.118,0.117,0.125,0.135,0.149,0.157,0.166,0.181,0.157,0.166,0.179,0.176,0.181,0.184,0.187,0.19,0.187,0.191,0.188,0.175,0.177,0.178,0.178,0.178,0.178
Bangladesh,8.582,8.422,8.654,9.285,10.074,10.691,11.477,12.219,12.756,13.185,13.527,13.701,13.607,13.567,14.032,14.527,14.785,15.149,15.721,15.993,15.911,15.945,16.308,16.714,17.036,17.37,17.849,18.632,19.603,20.812,22.123,23.41,23.787,24.966,25.819,27.284,28.499,29.738,30.491,31.403,32.68,33.768,34.991,36.256,37.529,38.83
Barbados,1.344,1.377,1.425,1.449,1.471,1.476,1.512,1.583,1.572,1.616,1.615,1.633,1.63,1.675,1.677,1.659,1.67,1.657,1.781,1.834,1.77,1.771,1.759,1.746,1.8,1.862,1.888,1.994,1.988,1.94,1.991,2.019,2.123,2.146,2.173,2.131,2.119,2.203,2.211,2.227,2.208,2.191,2.202,2.221,2.237,2.252
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0,0,0,0,0,0.001,0.001,0.005,0.016,0.028,0.04,0.051,0.061,0.07,0.075,0.083,0.098,0.106,0.117,0.196,0.32,0.374,0.449,0.525,0.564,0.609,0.667,0.698,0.74,0.762,0.785,0.813,0.832,0.849
Belgium,0.841,0.808,0.819,0.832,0.847,0.859,0.865,0.859,0.847,0.854,0.847,0.843,0.852,0.866,0.865,0.882,0.871,0.862,0.868,0.861,0.859,0.857,0.858,0.858,0.851,0.843,0.837,0.83,0.83,0.828,0.834,0.832,0.822,0.806,0.8,0.8,0.781,0.773,0.766,0.764,0.765,0.756,0.752,0.749,0.745,0.742
Belize,1.667,1.583,1.612,1.542,1.491,1.455,1.448,1.355,1.394,1.34,1.318,1.234,1.255,1.246,1.264,1.313,1.315,1.273,1.278,1.232,1.21,1.181,1.182,1.129,1.121,1.118,1.137,1.157,1.166,1.126,1.129,1.151,1.239,1.264,1.312,1.319,1.342,1.375,1.34,1.319,1.311,1.291,1.293,1.285,1.288,1.291
