Implied PPP conversion rate (National currency per international dollar),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.085,10.1,10.933,11.742,12.268,13.03,14.897,14.386,15.371,16.613,17.242,17.509,17.036,17.023,17.446,17.206,17.15,17.948,18.674,19.184,19.585,19.913,20.284,20.689,21.121
Albania,3.207,2.867,2.703,2.599,2.428,2.44,2.336,2.28,2.202,2.119,2.043,2.678,9.156,19.214,25.778,27.732,31.21,34.131,36.023,36.257,37.467,38.06,38.834,40.108,40.288,40.363,40.148,40.813,41.682,42.367,43.761,43.858,43.655,44.114,42.894,42.694,42.39,41.231,40.812,40.242,40.322,40.353,40.356,40.474,40.744,41.185,41.638
Algeria,1.809,1.891,1.814,1.865,1.924,1.952,1.95,2.02,2.212,2.465,3.097,4.715,5.656,6.248,7.717,9.812,11.898,12.516,11.989,13.142,15.721,15.311,15.271,16.242,17.753,19.993,21.456,22.236,25.162,22.177,25.451,29.476,32.593,33.43,34.04,35.011,37.156,38.856,40.625,39.55,37.245,40.44,41.924,43.55,45.538,47.943,50.638
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.046,0.064,0.412,2.088,4.216,10.078,19.187,24.932,34.425,39.133,39.751,46.546,38.451,50.053,64.606,65.682,66.019,65.001,68.182,80.779,92.952,122.41,147.699,167.852,216.607,234.815,245.888,254.37,261.735,269.839
Antigua and Barbuda,1.296,1.283,1.344,1.36,1.363,1.42,1.505,1.599,1.735,1.746,1.711,1.698,1.701,1.692,1.71,1.716,1.735,1.737,1.754,1.755,1.743,1.731,1.716,1.668,1.651,1.673,1.63,1.647,1.686,1.703,1.709,1.691,1.829,1.854,1.915,2.04,2.06,2.094,2.09,2.057,2.055,2.059,2.054,2.048,2.046,2.047,2.05
Argentina,0,0,0,0,0,0,0,0,0.001,0.016,0.334,0.766,0.851,0.817,0.822,0.831,0.816,0.798,0.776,0.751,0.742,0.718,0.923,1,1.032,1.104,1.219,1.364,1.648,1.887,2.256,2.733,3.218,3.941,5.452,6.867,9.295,10.257,14.024,20.753,29.119,41.198,56.231,70.931,84.788,97.39,108.15
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.053,0.789,35.197,89.091,105.322,121.822,134.645,132.967,128.331,130.792,129.946,133.382,138.075,137.942,140.076,142.185,147.76,150.392,160.209,163.65,157.964,159.846,165.186,172.924,161.229,155.971,156.523,156.053,157.029,158.876,160.249,162.916,165.958,169.27,172.798
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.027,1.041,1.061,1.12,1.127,1.114,1.137,1.197,1.201,1.195,1.199,1.205,1.247,1.296,1.303,1.281,1.303,1.318,1.285,1.309,1.362,1.355,1.351,1.35,1.378,1.343,1.321,1.317,1.329,1.345,1.355,1.359
Australia,0.918,0.923,0.975,1.019,1.043,1.064,1.107,1.157,1.219,1.262,1.278,1.253,1.241,1.226,1.215,1.225,1.225,1.218,1.216,1.209,1.235,1.25,1.268,1.284,1.294,1.313,1.339,1.361,1.419,1.414,1.473,1.511,1.54,1.447,1.452,1.474,1.45,1.466,1.464,1.486,1.48,1.48,1.462,1.458,1.459,1.462,1.467
